id,subject,grade,accesses,mean_clicks_per_access,sd_clicks,median_time_per_access,total_time,forum_views
4455,R and the Enlightenment,0.7023809523809524,15,20,24.0208242989286,38s,21013s (~5.84 hours),0
5050,R and the Enlightenment,0.6836071428571429,60,20,18.7119104642027,402s (~6.7 minutes),154650s (~1.79 days),241
4072,R and the Enlightenment,0.5667142857142857,40,12.8,14.7755862394001,58.5s,29987s (~8.33 hours),37
4539,R and the Enlightenment,0.84,21,10.80952380952381,9.13574872475731,47s,33430s (~9.29 hours),0
4276,R and the Enlightenment,0.8207142857142857,56,12.5,16.6951272150671,44s,151503.261000156s (~1.75 days),0
7181,R and the Enlightenment,0.6891904761904762,28,8.107142857142858,6.95136163434392,246.5s (~4.11 minutes),26112.1760001183s (~7.25 hours),0
5600,R and the Enlightenment,0.8416666666666667,41,15.634146341463415,17.6914613550732,304s (~5.07 minutes),66928s (~18.59 hours),61
3548,R and the Enlightenment,0.7114285714285714,36,17.694444444444443,20.6173566886106,10s,88428s (~1.02 days),2
3775,R and the Enlightenment,0.7166666666666667,17,6.352941176470588,6.49943436452923,17s,38956s (~10.82 hours),9
4440,R and the Enlightenment,0.742904761904762,35,17.514285714285716,24.631843842726,159s (~2.65 minutes),72345s (~20.1 hours),2
3383,R and the Enlightenment,0.7251785714285715,37,6.324324324324325,7.49093546321914,9s,25422s (~7.06 hours),26
4574,R and the Enlightenment,0.6125089285714286,49,18.775510204081634,19.2681357277182,1111s (~18.52 minutes),172158s (~1.99 days),175
5373,R and the Enlightenment,0.693125,42,12.595238095238095,15.5768112892828,74.5s (~1.24 minutes),140524s (~1.63 days),11
5248,R and the Enlightenment,0.6087857142857143,31,9.903225806451612,8.02643481964306,489s (~8.15 minutes),156904s (~1.82 days),12
5013,R and the Enlightenment,0.6595142857142857,63,17.174603174603174,15.282859556083,1409s (~23.48 minutes),292534s (~3.39 days),291
4711,R and the Enlightenment,0.6825,38,19.342105263157894,17.8934931791079,784s (~13.07 minutes),72664s (~20.18 hours),1
5393,R and the Enlightenment,0.5633333333333334,5,16,18.7749833555186,20s,21044s (~5.85 hours),0
